"trip1","trip2","trip3","count"
"1","2","3",2
"1","2","4",9
"1","2","5",10
"1","2","6",22
"1","2","7",275
"1","2","8",4
"1","2","9",2
"1","3","4",4
"1","3","5",2
"1","3","6",43
"1","3","7",319
"1","3","8",14
"1","3","9",3
"1","4",NA,7
"1","4","5",12
"1","4","6",27
"1","4","7",223
"1","4","8",6
"1","4","9",1
"1","4","C",2
"1","5",NA,17
"1","5","6",72
"1","5","7",578
"1","5","8",30
"1","5","9",5
"1","5","C",8
"1","6",NA,100
"1","6","7",2902
"1","6","8",189
"1","6","9",15
"1","6","B",2
"1","6","C",18
"1","6","b",1
"1","7",NA,5351
"1","7","8",729
"1","7","9",89
"1","7","C",121
"1","8",NA,29
"1","8","9",10
"1","8","C",4
"1","9",NA,1
"1","9","C",4
"1","C",NA,1
"2","3","6",3
"2","3","7",13
"2","4","7",1
"2","5",NA,1
"2","5","6",1
"2","5","7",28
"2","5","8",1
"2","6","7",24
"2","6","8",2
"2","7",NA,146
"2","7","8",14
"2","7","9",2
"3","4","6",1
"3","4","7",10
"3","5","7",9
"3","5","8",1
"3","6",NA,1
"3","6","7",95
"3","6","8",11
"3","6","9",1
"3","7",NA,121
"3","7","8",22
"3","7","9",3
"3","7","C",2
"4","5","7",25
"4","5","8",3
"4","6",NA,2
"4","6","7",18
"4","6","8",1
"4","7",NA,95
"4","7","8",4
"4","7","9",1
"5","6",NA,9
"5","6","7",90
"5","6","8",6
"5","7",NA,345
"5","7","8",35
"5","7","C",5
"5","8",NA,3
"6",NA,NA,5
"6","7",NA,746
"6","7","8",245
"6","7","9",13
"6","7","B",1
"6","7","C",15
"6","8",NA,32
"6","8","C",2
"6","B",NA,1
"6","C",NA,17
"7",NA,NA,1932
"7","8",NA,296
"7","8","B",1
"7","8","C",3
"7","9",NA,17
"7","B",NA,1
"7","C",NA,76
"8","C",NA,2
